total_reads	TotalReadCount
shared_reads	SharedReadCount
smart_shared_reads	SmartSharedReadCount
unique_reads	UniqueReadCount
direct_total_reads	DirectTotalReadCount
direct_shared_reads	DirectSharedReadCount
direct_smart_shared_reads	DirectSmartSharedReadCount
direct_unique_reads	DirectUniqueReadCount
total_reads_coverage	TotalReadCoverage
unique_reads_coverage	UniqueReadCoverage
direct_total_reads_coverage	DirectTotalReadCoverage
direct_unique_reads_coverage	DirectUniqueReadCoverage
undirect_total_reads_coverage	UnDirectTotalReadCoverage
undirect_unique_reads_coverage	UnDirectUniqueReadCoverage
total_reads_mean_coverage	TotalReadMeanCoverage
shared_reads_mean_coverage	SharedReadMeanCoverage
smart_shared_reads_mean_coverage	SmartSharedReadMeanCoverage
unique_reads_mean_coverage	UniqueReadMeanCoverage
direct_total_reads_mean_coverage	DirectTotalReadMeanCoverage
direct_shared_reads_mean_coverage	DirectSharedReadMeanCoverage
direct_smart_shared_reads_mean_coverage	DirectSmartSharedReadMeanCoverage
direct_unique_reads_mean_coverage	DirectUniqueReadMeanCoverage
undirect_total_reads_mean_coverage	UnDirectTotalReadMeanCoveragev
undirect_shared_reads_mean_coverage	UnDirectSharedReadMeanCoverage
undirect_smart_shared_reads_mean_coverage	UnDirectSmartSharedReadMeanCoverage
undirect_unique_reads_mean_coverage	UnDirectUniqueReadMeanCoverage
undirect_total_reads	UnDirectTotalReadCount
undirect_shared_reads	UnDirectSharedReadCount
undirect_smart_shared_reads	UnDirectSmartSharedReadCount
undirect_unique_reads	UnDirectUniqueReadCount
	
